,,,,,,,,,,,,,,,
,Title ,Authors,Year,Event,Event's Qualis,Type of Publication,Field of application,Acess,Database,Link,Exclusion Criteria,Q1,Q2,Q3,QA
,Poster: Blockchain-Enabled Federated Edge Learning for Big Data Quality Assessment,Yalong Wu; Kewei Sha; Kwok-Bun Yue,2022,2022 IEEE/ACM 7th Symposium on Edge Computing (SEC),,"Article, poster","big data, blockchain, federated learning",Open Acess,IEEE Xplore,https://ieeexplore.ieee.org/document/9996822,2,0,1,1,2
,Data Evaluation and Enhancement for Quality Improvement of Machine Learning,Haihua Chen; Jiangping Chen; Junhua Ding,11-14 December 2020 ,"2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)",,Paper,"Machine Learning, Transfer learning, Quality of Dataset",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/abstract/document/9417095,2,1,0,1,2
,Measuring data quality for ongoing improvement: a data quality assessment framework,L Sebastian-Coleman,2012,-,,Book,"data qualtity, data quality framework",Open Acess,"Google Scholar, Google books",https://books.google.com/books?hl=en&lr=&id=6hczObr0_WwC&oi=fnd&pg=PP1&dq=data+quality+assessment&ots=m2WLq-kGbA&sig=Q0W34dd_6xmYJQAu89sNUiugf2c,2,0,0,1,1
,Data Quality: From Theory to Practice,Wenfei Fan,2015,"ACM SIGMOD Record, Volume 44, Issue 3",A1,column,data quality,Closed Acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/2854006.2854008,2,0,0,0,0
,The Effects of Data Quality on Machine Learning Performance,"Lukas Budach, Moritz Feuerpfeil, Nina Ihde, Andrea Nathansen, Nele Noack, Hendrik Patzlaff, Felix Naumann, Hazar Harmouch",Nov 2022,-,,Experiment,"Machine Learning, Data Quality Metrics",Open acess,Google Scholar,https://ui.adsabs.harvard.edu/abs/2022arXiv220714529B/abstract,2,1,1,1,3
,Data Curation and Quality Evaluation for Machine Learning-Based Cyber Intrusion Detection,Ngan Tran; Haihua Chen; Jay Bhuyan; Junhua Ding,03 October 2022,IEEE Access ( Volume: 10) ,,Experiments,-,Open acess,IEEE Xplore,https://ieeexplore.ieee.org/abstract/document/9907008,2,,,,0
,Applied Machine Learning for Information Security,"Sagar Samtani, Edward Raff, Hyrum Anderson",05 April 2024,"Digital Threats: Research and Practice, Volume 5, Issue 1",,Introduction,"Applied Machine Learning, Deep Learning, Information Security, Cybersecurity, Machine Learning",Open acess,ACM Digital library,https://dl.acm.org/doi/10.1145/3652029,2,1,1,1,3
,Unsupervised Anomaly Detection in Data Quality Control,Lex Poon; Siamak Farshidi; Na Li; Zhiming Zhao,2021,2021 IEEE International Conference on Big Data (Big Data),,"paper, experiment","quality control, data quality, ",Open acess,IEEE Xplore,https://ieeexplore.ieee.org/document/9671672,2,1,1,1,3
,Blockchain framework for IoT data quality via edge computing,"Roberto Casado-Vara, Fernando de la Prieta, Javier Prieto, Juan M. Corchado",2018,BlockSys '18: Proceedings of the 1st Workshop on Blockchain-enabled Networked Sensor Systems,,research-article,"Blockchain, internet of things, edge computing, data quality",Closed Acess,ACM Digital Library,https://dl.acm.org/doi/10.1145/3282278.3282282,2,,,,0
,Data Quality for Software Vulnerability Datasets,"Roland Croft, M. Ali Babar, M. Mehdi Kholoosi",26 July 2023,ICSE '23: Proceedings of the 45th International Conference on Software Engineering,A1,Research-Article,"Software vulnerability, Data Quality, Machine Learning",Closed acess,ACM Digital library,https://dl.acm.org/doi/10.1109/ICSE48619.2023.00022,2,1,1,1,3
